ID,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD
1205,High,F,M,2,69133,Y,27,8580,37,2145,214,5,5,15,0
1207,High,F,M,2,30998,N,41,2400,50,600,60,7,2,19,0
1211,High,F,M,2,38215,N,31,0,0,0,0,0,0,0,0
1212,High,F,M,1,13829,N,21,35003,160,17501,1750,40,4,7,0
1213,High,F,M,2,49745,N,48,2840,24,710,71,3,3,20,0
1216,Medium,M,S,0,89142,N,54,3760,5,940,94,0,3,13,0
1221,High,M,M,2,9309,Y,25,8560,99,2140,214,14,2,15,0
1225,High,F,S,2,42000,N,22,45004,35,22502,2250,8,4,7,0
1226,High,F,S,0,77726,N,57,14001,9,7000,700,2,3,7,0
1228,Low,F,S,1,2800,N,46,28452,106,14226,1422,26,3,7,1422
1233,Medium,M,M,1,92148,Y,28,4000,100,1000,100,15,5,12,0
1235,High,M,S,0,62705,Y,33,7000,6,1750,175,0,2,20,0
1238,Medium,M,S,1,84978,N,22,5030,76,1257,125,11,5,15,0
1243,Low,F,M,2,16962,N,45,18601,8,9300,930,2,1,10,930
1251,High,M,S,2,63152,Y,63,29932,40,14966,1496,10,1,6,0
1252,Low,M,S,2,72084,N,56,29112,9,14556,1455,2,5,6,1455
1253,High,F,S,0,42760,N,42,13471,40,6735,673,10,5,5,0
1255,Low,F,M,0,27371,Y,46,16141,126,8070,807,31,2,6,807
1264,High,M,M,1,75004,N,65,26522,32,13261,1326,8,1,5,0
1265,Low,M,M,0,19749,N,60,20222,13,10111,1011,3,2,5,1011
1276,High,F,S,2,21021,Y,63,3750,11,937,93,1,1,16,0
1280,High,F,M,2,62061,Y,46,29862,52,14931,1493,13,5,5,0
1285,High,F,S,1,13109,N,63,22382,40,11191,1119,10,5,9,0
1299,Low,M,M,2,91272,Y,25,26992,13,13496,1349,3,3,10,1349
1301,High,M,M,1,64792,N,52,13051,36,6525,652,9,3,5,0
1303,High,M,M,2,49910,Y,52,27422,23,13711,1371,5,4,6,0
1312,Medium,M,M,1,2067,N,48,15251,70,7625,762,17,4,5,762
1313,Medium,M,M,2,30665,Y,23,5830,63,1457,145,9,2,12,0
1318,Low,F,S,0,85275,N,62,22482,151,11241,1124,37,3,7,1124
1319,Low,F,M,1,66921,Y,70,15701,8,7850,785,2,2,7,785
1320,High,F,M,1,98453,Y,61,13721,11,6860,686,2,2,10,0
1321,High,F,S,2,57420,Y,52,25182,252,12591,1259,63,4,7,0
1327,High,M,S,1,16432,Y,21,20412,80,10206,1020,20,2,6,0
1335,Low,M,M,0,5745,Y,15,26402,17,13201,1320,4,4,10,1320
1337,Medium,F,M,2,11234,Y,49,690,112,172,17,16,2,10,0
1338,High,F,M,1,82931,N,65,19241,118,9620,962,29,4,7,0
1339,Low,F,M,2,57483,N,44,17011,27,8505,850,6,4,9,850
1343,High,M,S,1,94188,N,58,20862,19,10431,1043,4,1,8,0
1348,High,F,M,2,30998,N,41,2400,50,600,60,7,4,18,0
1350,Medium,M,S,0,78554,N,17,5590,23,1397,139,3,2,12,0
1362,Low,F,M,1,32962,N,24,25772,26,12886,1288,6,1,10,1288
1365,Low,F,S,2,42000,N,20,43004,35,21502,2150,8,1,9,2150
1368,Low,F,S,1,2800,N,46,28452,106,14226,1422,26,2,6,1422
1371,Medium,F,M,2,98217,N,45,29492,13,14746,1474,3,3,8,0
1372,Medium,F,S,0,15989,N,62,3670,25,917,91,3,4,10,0
1374,Low,F,M,2,36647,N,50,21412,85,10706,1070,21,2,7,1070
1376,High,F,S,1,73338,N,48,20922,9,10461,1046,2,5,5,0
1378,High,F,M,2,16962,N,45,18601,8,9300,930,2,1,6,0
1384,High,M,M,0,95448,Y,54,24242,5,12121,1212,1,1,6,0
1385,Low,M,S,1,24141,Y,17,28822,97,14411,1441,24,5,9,1441
1386,Low,M,S,2,63152,Y,63,29932,40,14966,1496,10,5,9,1496
1390,High,F,M,0,27371,Y,62,16141,126,8070,807,31,2,9,0
1395,High,M,S,0,90478,N,55,18021,136,9010,901,34,5,6,0
1397,High,F,S,1,35000,N,24,23562,206,11781,1178,51,2,5,0
1399,Low,M,M,2,53010,N,19,12451,46,6225,622,11,1,10,622
1401,High,M,M,0,19749,N,60,20222,13,10111,1011,3,1,7,0
1405,High,M,M,1,7545,Y,17,22392,178,11196,1119,44,4,9,0
1409,High,M,S,2,43634,N,22,29442,104,14721,1472,26,4,5,0
1418,Low,M,M,1,13091,N,59,22792,20,11396,1139,5,2,8,1139
1419,Low,F,M,0,91708,N,37,17211,31,8605,860,7,5,7,860
1427,High,F,S,0,98716,N,56,20972,13,10486,1048,3,2,5,0
1430,Medium,M,M,1,63900,N,28,8360,39,2090,209,5,5,11,0
1432,High,F,M,1,56722,N,61,17371,51,8685,868,12,3,5,0
1444,High,F,M,2,55860,Y,15,16011,10,8005,800,2,3,7,0
1446,Low,M,M,1,92414,Y,46,29432,10,14716,1471,2,3,10,1471
1456,Low,F,M,1,95620,Y,46,10911,93,5455,545,23,1,7,545
1459,Low,F,M,1,98453,Y,52,13721,11,6860,686,2,4,9,686
1461,Medium,M,M,0,58986,N,27,3930,26,982,98,3,5,13,0
1463,Low,F,S,0,39461,N,22,22872,103,11436,1143,25,4,9,1143
1467,High,F,S,1,540,Y,39,12341,7,6170,617,1,1,9,0
1468,Medium,F,M,2,80087,N,42,8740,22,2185,218,3,5,12,0
1473,Low,F,S,0,93454,Y,49,18941,25,9470,947,6,2,5,947
1474,Low,M,M,0,5745,Y,15,26402,17,13201,1320,4,3,7,1320
1476,High,F,M,2,11234,Y,49,690,112,172,17,16,1,19,0
1478,High,F,M,2,57483,N,44,17011,27,8505,850,6,2,9,0
1479,Low,F,S,2,21274,N,46,10871,32,5435,543,8,1,5,543
1480,Low,F,M,2,28267,N,30,21872,192,10936,1093,48,4,5,1093
1484,Low,F,S,1,12374,Y,33,17491,106,8745,874,26,1,10,874
1485,Medium,F,M,2,69133,Y,27,8580,37,2145,214,5,2,15,0
1489,High,M,M,2,21416,N,36,9900,8,2475,247,1,2,18,0
1495,Medium,F,M,2,98003,Y,26,1030,83,257,25,12,4,15,0
1500,Medium,M,M,1,66931,N,64,11721,5,5860,586,1,3,5,0
1501,High,M,M,2,9309,Y,25,8560,99,2140,214,14,5,16,0
1502,High,F,M,1,42000,N,24,33003,26,16501,1650,6,3,8,0
1507,High,F,S,2,35000,N,19,39003,38,19501,1950,9,3,7,0
1513,Medium,M,S,1,84978,N,22,5030,76,1257,125,11,2,13,0
1527,Low,M,S,2,72084,N,56,29112,9,14556,1455,2,3,10,1455
1528,Low,F,S,0,42760,N,62,13471,40,6735,673,10,2,7,673
1531,Medium,M,M,1,71472,N,42,16021,114,8010,801,28,3,6,801
1532,High,F,M,0,95405,N,70,7740,6,1935,193,0,2,15,0
1533,High,F,S,0,95786,Y,58,21332,87,10666,1066,21,4,7,0
1535,Low,M,S,0,90478,N,55,18021,136,9010,901,34,4,10,901
1536,Medium,F,M,2,56187,N,53,8090,13,2022,202,1,3,17,0
1538,High,M,M,2,53010,N,19,12451,46,6225,622,11,1,6,0
1540,Low,M,M,0,19749,N,60,20222,13,10111,1011,3,2,8,1011
1541,Medium,M,S,1,57626,Y,44,9380,38,2345,234,5,5,13,0
1546,Low,F,S,1,37000,N,24,23562,206,11781,1178,51,4,7,1178
1547,High,M,M,0,9780,N,25,2800,11,700,70,1,4,17,0
1549,Low,M,M,1,75004,N,65,26522,32,13261,1326,8,1,5,1326
1557,Low,F,M,2,42031,N,51,20452,39,10226,1022,9,3,5,1022
1558,High,F,S,1,97689,N,59,6080,8,1520,152,1,1,16,0
1564,High,F,M,1,50735,Y,36,11621,16,5810,581,4,5,10,0
1570,Low,F,M,1,43894,N,40,29282,40,14641,1464,10,4,10,1464
1571,Low,F,S,2,28787,N,42,27972,58,13986,1398,14,4,5,1398
1575,Low,F,M,0,91708,N,37,17211,31,8605,860,7,3,7,860
1577,Low,F,M,1,20550,Y,22,27722,57,13861,1386,14,5,6,1386
1581,High,M,M,2,28766,N,47,6110,58,1527,152,8,4,20,0
1588,Low,F,M,2,55860,Y,15,16011,10,8005,800,2,4,5,800
1591,Low,F,S,2,14578,Y,61,11911,95,5955,595,23,2,9,595
1592,High,F,M,2,87578,Y,53,290,22,72,7,3,3,15,0
1595,High,M,M,1,2067,N,48,15251,70,7625,762,17,2,10,0
1600,Low,F,M,1,95620,Y,49,10911,93,5455,545,23,3,5,545
1601,High,F,D,1,85275,N,52,22482,151,11241,1124,37,3,9,0
1605,High,M,M,0,58986,N,27,3930,26,982,98,3,1,18,0
1607,Low,F,S,0,39461,N,22,22872,103,11436,1143,25,5,5,1143
1618,High,F,M,1,30000,N,20,59005,8,29502,2950,2,5,9,0
1619,Medium,F,M,2,11234,Y,49,690,112,172,17,16,1,14,0
1621,Low,F,M,2,57483,N,44,17011,27,8505,850,6,4,7,850
1623,High,F,M,2,28267,N,30,21872,192,10936,1093,48,1,6,0
1626,Low,F,M,2,91861,Y,42,15321,6,7660,766,1,3,9,766
1628,High,F,M,2,69133,Y,27,8580,37,2145,214,5,5,17,0
1633,High,M,M,2,78554,N,17,5590,23,1397,139,3,4,20,0
1634,High,F,M,2,38215,N,31,0,0,0,0,0,0,0,0
1636,Medium,F,M,2,49745,N,48,2840,24,710,71,3,4,15,0
1638,Medium,F,M,2,98003,Y,26,1030,83,257,25,12,1,14,0
1647,Medium,F,S,0,32962,N,21,45004,61,22502,2250,15,4,6,0
1648,High,F,S,2,42000,N,22,33003,35,16501,1650,8,1,8,0
1654,Low,F,M,2,98217,N,45,29492,13,14746,1474,3,4,6,1474
1659,High,F,S,1,73338,N,48,20922,9,10461,1046,2,5,9,0
1663,High,F,M,0,2031,N,20,21642,87,10821,1082,21,2,7,0
1665,Medium,F,M,0,55221,N,62,490,15,122,12,2,4,10,0
1667,Low,M,M,0,95448,Y,54,24242,5,12121,1212,1,5,5,1212
1670,Low,M,S,2,72084,N,56,29112,9,14556,1455,2,3,8,1455
1674,High,M,M,0,71472,N,42,16021,114,8010,801,28,1,9,0
1678,Low,M,S,1,90478,N,55,18021,136,9010,901,34,4,6,901
1682,High,M,M,0,75004,N,65,26522,32,13261,1326,8,2,6,0
1686,Low,F,M,2,47902,N,26,17441,49,8720,872,12,4,10,872
1687,Low,M,M,1,7545,Y,17,22392,178,11196,1119,44,1,8,1119
1689,Low,F,S,1,13576,N,39,14831,25,7415,741,6,4,10,741
1691,Low,M,S,2,43634,N,22,29442,104,14721,1472,26,1,7,1472
1694,High,F,S,2,21021,Y,63,3750,11,937,93,1,3,20,0
1695,High,M,S,0,74460,Y,55,25532,179,12766,1276,44,1,6,0
1699,Low,F,M,1,20550,Y,22,27722,57,13861,1386,14,2,9,1386
1702,Medium,F,S,2,6440,Y,52,22662,27,11331,1133,6,2,6,1133
1706,High,M,M,1,64792,N,52,13051,36,6525,652,9,3,6,0
1709,High,M,M,0,76161,Y,45,11961,25,5980,598,6,2,5,0
1711,High,M,M,2,57360,Y,53,10361,57,5180,518,14,1,5,0
1713,Low,F,S,2,14578,Y,61,11911,95,5955,595,23,1,9,595
1715,High,F,M,2,86695,N,14,25942,32,12971,1297,8,2,7,0
1718,High,M,M,1,2067,N,48,15251,70,7625,762,17,3,8,0
1719,Medium,M,M,2,30665,Y,23,5830,63,1457,145,9,1,15,0
1720,Medium,F,M,1,78000,Y,56,6080,30,1520,152,4,3,12,0
1731,Low,F,S,0,39461,N,22,22872,103,11436,1143,25,1,6,1143
1732,High,M,M,1,47371,Y,55,4980,258,1245,124,38,2,18,0
1734,Low,F,S,1,540,Y,39,12341,7,6170,617,1,3,8,617
1744,High,F,M,2,57483,N,44,17011,27,8505,850,6,4,5,0
1745,Low,F,S,2,21274,N,46,10871,32,5435,543,8,1,6,543
1748,Low,M,S,1,94188,N,58,20862,19,10431,1043,4,1,5,1043
1750,High,F,S,1,12374,Y,33,17491,106,8745,874,26,1,10,0
1751,High,F,M,2,69133,Y,27,8580,37,2145,214,5,3,17,0
1752,Low,F,M,2,84948,Y,29,11141,12,5570,557,3,1,7,557
1753,High,F,M,2,30998,N,41,2400,50,600,60,7,1,19,0
1754,High,M,S,0,15924,N,14,0,0,0,0,0,0,0,0
1756,Medium,M,M,2,78554,N,17,5590,23,1397,139,3,5,12,0
1757,High,F,M,2,38215,N,31,0,0,0,0,0,0,0,0
1761,High,M,S,0,89142,N,54,3760,5,940,94,0,5,16,0
1762,High,F,S,0,74530,N,63,20892,106,10446,1044,26,5,7,0
1766,High,F,S,0,77726,N,57,14001,9,7000,700,2,4,10,0
1779,Low,F,M,0,2031,N,20,21642,87,10821,1082,21,4,9,1082
1787,Low,F,S,0,42760,N,46,13471,40,6735,673,10,2,7,673
1788,Low,F,S,1,49072,N,70,23502,10,11751,1175,2,4,7,1175
1793,High,M,S,0,90321,N,39,870,11,217,21,1,1,17,0
1794,Medium,M,D,1,90478,N,55,18021,136,9010,901,34,5,6,0
1804,High,M,M,1,7545,Y,17,22392,178,11196,1119,44,5,9,0
1806,Low,F,S,1,13576,N,39,14831,25,7415,741,6,1,5,741
1808,High,M,S,2,43634,N,22,29442,104,14721,1472,26,5,10,0
1812,Low,M,S,0,74460,Y,55,25532,179,12766,1276,44,2,7,1276
1814,High,M,M,1,13091,N,59,22792,20,11396,1139,5,5,8,0
1815,High,F,M,2,62061,Y,46,29862,52,14931,1493,13,2,8,0
1818,High,F,S,2,19131,N,56,22152,34,11076,1107,8,1,7,0
1820,Medium,M,M,2,28766,N,47,6110,58,1527,152,8,5,15,0
1825,Medium,M,M,2,49910,Y,52,27422,23,13711,1371,5,2,8,0
1833,Medium,M,M,1,5306,N,39,5520,17,1380,138,2,5,12,0
1836,Medium,M,M,2,30665,Y,23,5830,63,1457,145,9,4,13,0
1838,High,M,M,1,98680,Y,59,17581,8,8790,879,2,1,7,0
1842,High,F,M,1,66921,Y,47,15701,8,7850,785,2,1,10,0
1847,Low,F,S,0,39461,N,22,22872,103,11436,1143,25,5,8,1143
1850,High,M,S,1,16432,Y,21,20412,80,10206,1020,20,5,6,0
1858,High,M,M,0,5745,Y,15,26402,17,13201,1320,4,2,10,0
1861,High,F,M,2,57483,N,44,17011,27,8505,850,6,2,9,0
1865,Low,M,S,1,94188,N,58,20862,19,10431,1043,4,5,7,1043
1870,High,F,M,2,30998,N,41,2400,50,600,60,7,5,15,0
1873,High,F,M,2,38215,N,31,0,0,0,0,0,0,0,0
1879,Low,F,M,2,76289,N,48,22202,82,11101,1110,20,5,9,1110
1880,Low,M,M,1,66931,N,64,11721,5,5860,586,1,2,7,586
1881,High,F,M,2,9309,Y,25,8560,99,2140,214,14,1,17,0
1883,Low,F,S,1,2800,N,46,28452,106,14226,1422,26,2,9,1422
1890,High,F,S,0,64319,N,41,3010,37,752,75,5,2,15,0
1894,Low,M,M,2,10708,N,26,20832,117,10416,1041,29,1,6,1041
1896,High,F,S,2,16938,N,41,13351,8,6675,667,2,1,10,0
1897,High,F,M,0,55221,N,46,490,15,122,12,2,4,15,0
1900,Low,M,S,1,24141,Y,17,28822,97,14411,1441,24,2,10,1441
1901,High,M,S,2,63152,Y,63,29932,40,14966,1496,10,1,9,0
1902,High,M,S,2,72084,N,56,29112,9,14556,1455,2,5,7,0
1905,Low,F,M,0,27371,Y,52,16141,126,8070,807,31,3,8,807
1907,High,M,M,0,95405,N,47,7740,6,1935,193,0,2,15,0
1914,Low,M,M,1,75004,N,65,26522,32,13261,1326,8,5,9,1326
1915,Medium,M,M,0,19749,N,60,20222,13,10111,1011,3,4,9,0
1916,Medium,M,S,1,57626,Y,44,9380,38,2345,234,5,5,15,0
1924,Low,F,S,1,13109,N,63,22382,40,11191,1119,10,5,10,1119
1927,Low,M,S,0,74460,Y,55,25532,179,12766,1276,44,4,6,1276
1930,Low,F,M,2,62061,Y,46,29862,52,14931,1493,13,2,7,1493
1934,High,F,S,2,6440,Y,41,22662,27,11331,1133,6,1,9,0
1938,Medium,M,M,1,64792,N,52,13051,36,6525,652,9,1,6,652
1942,Low,F,M,2,55860,Y,15,16011,10,8005,800,2,1,6,800
1946,High,F,M,2,87578,Y,53,290,22,72,7,3,1,15,0
1952,Low,M,M,1,98680,Y,59,17581,8,8790,879,2,2,5,879
1954,Low,M,M,1,95620,Y,49,10911,93,5455,545,23,2,10,545
1957,High,F,M,1,98453,Y,61,13721,11,6860,686,2,5,8,0
1961,Low,F,S,0,39461,N,22,22872,103,11436,1143,25,4,5,1143
1967,Low,M,M,2,59613,N,34,12371,163,6185,618,40,2,10,618
1969,Low,F,M,2,59691,N,38,21942,256,10971,1097,64,1,9,1097
1979,Low,M,M,2,45429,Y,62,24702,73,12351,1235,18,2,10,1235
1985,Low,F,M,2,57483,N,44,17011,27,8505,850,6,4,9,850
1987,Low,F,S,2,21274,N,46,10871,32,5435,543,8,2,6,543
1990,High,F,M,2,36725,N,56,8650,77,2162,216,11,4,19,0
1998,High,M,M,2,45429,Y,62,24702,73,12351,1235,18,3,10,0
2008,Medium,M,M,0,84166,N,54,3280,11,820,82,1,5,12,0
2009,Low,M,M,2,59613,N,34,12371,163,6185,618,40,1,10,618
2012,High,M,M,1,67388,N,53,4790,91,1197,119,13,1,16,0
2013,High,M,M,1,84166,N,54,3280,11,820,82,1,2,19,0
2014,High,M,S,1,78554,N,17,5590,23,1397,139,3,2,19,0
2015,High,F,M,2,38215,N,31,0,0,0,0,0,0,0,0
2021,High,F,S,0,74530,N,63,20892,106,10446,1044,26,5,8,0
2022,High,F,M,2,76289,N,48,22202,82,11101,1110,20,4,7,0
2027,Low,F,M,2,90271,N,45,13961,96,6980,698,24,2,7,698
2028,Low,F,M,2,64816,Y,31,21002,6,10501,1050,1,5,6,1050
2030,High,F,S,0,15989,N,62,3670,25,917,91,3,2,16,0
2034,Medium,F,S,1,73338,N,48,20922,9,10461,1046,2,3,10,1046
2040,Medium,F,M,0,55221,N,46,490,15,122,12,2,1,15,0
2047,High,F,S,1,49072,N,53,23502,10,11751,1175,2,1,9,0
2049,High,M,M,0,71472,N,42,16021,114,8010,801,28,1,8,0
2051,Low,M,S,0,95786,Y,58,21332,87,10666,1066,21,3,5,1066
2056,High,M,M,2,29616,N,49,29782,45,14891,1489,11,2,7,0
2061,Medium,F,S,0,78851,N,48,370,28,92,9,4,2,15,0
2063,High,F,M,0,83891,Y,61,28922,45,14461,1446,11,2,5,0
2064,High,F,M,2,28220,N,39,26492,12,13246,1324,3,4,8,0
